"Niveau d'instruction","Annuaire statistique 2022-2023","","","Recensement de 2023","",""
"","Garçons","Filles","Ensemble","Garçons","Filles","Ensemble"
"Petite section","45 784","50 592","96 376","55422","58039","113461"
"Moyenne section","43 443","48 643","92 086","43465","45326","88791"
"Grande section","45 143","50 891","96 034","51898","53105","105003"
"Cours d'initiation (CI)","212 226","238 245","450 471","171364","177246","348610"
"Cours préparatoire (CP)","209 176","233 354","442 530","187320","199191","386511"
"Cours 
élémentaire 
1ère 
année 
(CE1)","193 654","221 848","415 502","163783","176450","340233"
"Cours 
élémentaire 
2ème 
année 
(CE2)","176 246","203 338","379 584","151046","163968","315014"
"Cours moyen 1ère année (CM1)","163 044","194 578","357 622","134880","150182","285061"
"Cours moyen 2ère année (CM2)","129 694","164 816","294 510","129591","150652","280243"
